id,username,text,label
30,BS," sekedar saran agar pemerintah bekerja sama dg ustad"" agar menghimbau masyarakat mencegah penularan Corona, masyarakat akan lebih patuh jika yg menghimbau adalah ustad ayo ulama' lengkap dg dalilnya,.",positif
31,asinar,"semoga segera bebas dari  virus CORONA, biar kembali seperti dulu lagi, amin",netral
32,èª…ä»™é’é›²å¿— é™¸é›ªçª,"saudara saudari di seluruh Indonesia mari kita bersatu menghentikan COViD  ini , karena virus  menular melalui hidung , mulut dan kulit , oleh karena itu  , jaga jarak 1 meter , pakai masker kalau keluar rumah , dan cuci tangan  dan muka kalau pulang rumah , hindarilah jabat jangan , pakailah cara lain bersalaman  terapkanlah ini di seluruh Indonesia",positif
33,rafaqira,"gimana sih pemerintah kok pilih kasih, masa tes nya hanya di kota, kita yang di desa juga butuh pak",negatif
34,Delvi Picarima,"Sy tinggal di Jakarta, sangat kecewa sy melihat klakuan orang2 disini, dari yg remaja sampai yg sdh lansia sangat super susah di himbau untuk waspada corona, bahkan msh banyak yg beranggapan dan membuat lelucon tentang situasi pandemik global ini cuma isu yg dibesar2kan . entah sudah berapa banyak carrier disini yg belum terdeteksi",positif
35,Abdullah Indra,"Gratis kan biaya internet dong Pemerintah , 2 bulan gitu.. Jamin auto isolasi diri dirumah... biar mantengin drama korea aja buat social distancing.. haha",netral
36,Jonh Thomas 17513277,"Tka dr china jg msih bebas msk ke indonesia, cntohnya di kendari.. import virus corona",negatif
37,Mochamad Ridwan,"sedia kan makanan untuk diam dirumah , soalnya kerja harian kaya pedagang dll pasti gak akan diem dirumah karna harus mencari nafkah keluarga makan dsb. 
Ini real cerita pedagang, tukang parkir, tukang sampah dsb.",positif
38,Kang Dadang Sutisna,Sehat selalu pak de.. Kami siap lawan corona.. Siap patuhi amanat pemerintah,positif
39,guE boCilL,harusnya binatang buas dikebun binatang pd dibebas liarkan biar orang2 pd diam di rumah,positif
40,Mas Bei,saya ga tega sama pemerintah jika di salahkan terus. apalgi ini dollar mau 16ribu.. yg bisa bisa menimbulkan krisis... Semoga pemerintah bisa melalui cobaan ini.. Dan semua rakyat indonesia bersatu mendukung terus apa yg telah di upayakan oleh pemerintah... Demi kebaikan rakyat indonesia semua,positif
41,adammi,lockdown ini mungkin udah usaha yang terbaik dari pemerintah,positif
42,renaa23,Kira kira lockdown adalah jalan yg terbaik.. Meski harus banyak resiko... Yg akan kita lalui... Asalkan rakyat indonesia kompak.. Mematuhi insyaallah pasti bisa,positif
43,Pandito Putro,Rapid test ini apakah gratis ? Krn untuk test covid 19 ini di RS biayanya 500-600 ribu,netral
44,Maya Maryanti,Kebayang ga pemerintah pusing nya kayak apa siap kan ini semua. ayo lah kita patuhi aturan pemerintah demi kebaikan indonesia,positif
45,Maya Maryanti,ayo lah ini masalah bersama.. .ikuti aturan dari pemerintah,positif
46,IxWin Gt,Semoga sebelum bulan puasa covid sudah hilang amin,netral
47,Hendra Dharmawi,"Pak tolong masker di sumbar ditambah pak, Semoga Tuhan melindungi kita semua",positif
48,Kang Victz,"Ketika negara lain sudah mengurangi suspect corona di indonesia justru terus bertambah korban meninggal..
FAKTA.. Karena pemerintah kerjanya lambat",negatif
49,Mein Liebe,"Buat pemerintah, tolong diperhatikan juga untuk keamanan dari para petugas medis dan instansi medis yang berjuang. stok alat pelindung diri spt masker, dll tolong segera dipenuhi. kalau bisa untuk instansi2 yang terkait dengan penanganan corona mendapat subsidi biaya operasional terkait listrik, air, gas, dll.",positif
50,riky septian,Wakil presiden kita kemana ya? kok tidak ada kerja nya ,negatif
51,Moh Syahid,Indonesia ini gak setegas seperti saudi arabia ...,negatif
52,KANG CIMOT,Saya mau nanya jika kena Corona apakah pas di isolasi bakal bayar?,netral
53,ilyas kholil,"saya juga bingung pak, mau kasih makan apa anak dan istri di rumah kalau lockdown",negatif
54,Syah Fishing,bentar lagi indonesia makin padat pendukduknya amin.,netral
55,Richie Chandra,"kebanyakan bohong pemerintah, janji katanya bantu rakyat miskin, buktinya nol",negatif
56,Queflis JJ,"Para kader partai pada kemana, giliran kampaye aja bagi2 kaos sama spanduk.. Skrang ada virus kemana.. Bagi2 masker sama antis lah jika kalian mau di pilih sama rakyat",netral
57,j j,Ayo cepat pk. jgn lambat menangani jgn sampai meluas .virus ini. sayangi rakyatnya dan rakyat kecil.,positif
58,Oski Blarblar,"Terlihat belom siap, padahal udah peringati sama WHO jauh beberapa bulan sebelum covid19 masuk indonesia, lucunya indonesiaku awokwkwk",negatif
59,Zulkifli Adi,Ngomong doang lu antek cina,negatif
60,K.O.K,"Ini masih dalam spekulasi dan dugaan saya, menurut saya kapur barus dan suara berfrekuensi tinggi mampu mencegah Covid-19",netral
61,Putri Yusuf,"Smg virus di dunia ini cpt berlalu dn musnah jgn pernah kembali lagi,,",netral
62,Bony Nurzaman,Virus cina,negatif
63,Ajie Setiaji,"hasil rapid test seharusnya diumumkan, supaya publik tahu berapa yang positif dan berapa yang negatif, yang mencerminkan proporsi penyebaran di antara penduduk. Penyebaran akan berkurang kalau yang positif lebih banyak, artinya yang kebal sudah bamyak",negatif
64,Iing Syamsul Bachri,Pak jokowi terima kasih  atas fasilitas... dan pelayanan pemerintah..,positif
65,Dandi Saputra,"Ya Allah ... sebentar lagi ramadhan... hilangkanlah virus corona di muka bumi ini, agar kami semua umat muslim bisa kembali beribadah dengan leluasa ,biar anak2 bisa kmbali mnuntut ilmu, biar anak2 bisa bermain dengan ceria... mari saudaraku seiman kita minta brsma2 agar semua cepat membaik...",netral
66,Arin Khoir,"pak.. sebaiknya ceritakan gaya hidup/ pola hidup orang2 yg sembuh, yg meninggal, yg kontak kasus tp tidak terpapar dan kontak terpapar.. biar jd bahan masyarakat bagaimana cara mengatasi virus ini",positif
67,Reza Andre,"WNA dilarang masuk ke indonesia, bukan malah dibebasin",negatif
68,fitri ani,"Usul Pak untuk pecegahan virus korona seharusnya di tindak lanjuti di semua Bandara, setiap pendatang yg dari luar Negeri ke Indonesia entah itu mau liburan/ berkunjung dll sebagainya itu orang2 harus di cek Suhu Panasnya klo terdapat suhu panas tinggi di mohon untuk di dampingi  untuk cek kesehatan di rumah sakit, supaya jelas suhu tinggi di akibatkan kena firus corona apa gak, klo jelas kena firus korona harap di Isolasi supaya firus korona tidak menyebar ke orang2 yg di sekitar. ",positif
69,Ivanos Ide,Semoga pak Jokowi sehat selalu dan tegar dgn kondisi yg dihadapinya.,netral
70,Ayri 23,Semangat Indonesia ku lawan korona pasti kita bisa semangat,netral
71,Rimuru Tempest," jika dari awal tidak meremehkan, dari awal bersiap diri.. ini semua tdk harus terjadi.. harus ada yg berteriak..  harus tunggu manusia sakit dan mati, baru beli alat tesnya..",negatif
72,Lusi Tulungagung,Mohon pd bapak presiden jg kesehatan bapak mg allah selalu melindungi bapak mg bapak sehat trs & dimudahkan untk menangani musibah ini amin,netral
73,Kristin Channel,Bapak juga harus sehat terus yah pak..,netral
74,Widodo Pare,setuju pak presiden. mantap semoga sehat pak presiden jokowi,netral
75,marty Aryadi,"Andai saja setiap rt/ rw diberikan alat lengkap untk mendetski virus corna, buat warganya dan diwajibkan warganya memeriksa kesehatan disetiap rt/ rw masing2 .mungkin bisa gampang terdeteksi, dan warga yg gk kena terpapar virus corna, wajib diksh cairan pembersih tangan /vitamin dsb ,karna banyak warga yg gk mampu beli pembersih tangan /dll  dikarenakan kelangkaan yg udh diborong oleh org yg rakus˜­ semoga kita dijauhkan dr virus corna, semoga seblm puasa corna hilang hanya kenangam",positif
76,auliaas,Selamat warga Jakarta dan sekitarnya rapid test... Yg di pelosok apa kabar ya?. Bayar ga ni?.,netral
77,Sarah Mardiana,"pemerintah ini kerjanya apa sih, apa gak mikirin keselamatan rakyatnya",negatif
78,putri rahayu,"susahnya mengajak masyarakat indonesia bekerja sama dengan pemerintah miris sedih, tidak seperti negara china masyarakat sangat patuh dengan peraturan pemerintah",positif
79,Dwi parjiani,Indonesia berhati - hatilah semuanya karena tampaknya kita masuk ke zaman perang firus antar negara- negara yang berperang dan kita terkena imbasnya hati- hati dlm bertindak.,netral
80,mediaan medi,"sekarang Solusinya PENCEGAHAN apa pak, hanya omong doang",negatif
81,Arief Akbar,Telat klo mau bikin pulau isolasi skrg keburu pasiennya mati semua tahun -tahun kemarin kemana aja emang gak ada kepikiran tuh di kepala pemerintah  buat bikin pulau kyk gitu ,negatif
82,mo3zi3z mo3za-azi3z,"Cara mencegah CORONA itu adalah membiar kan TKA CINA masuk negara ini dgn BEBAS seperti di kendari
Bodoh ya tetap Bodoh jae jae jae",negatif
83,Chris Tian,Wahai kawanku indonesia. Patuhilah aturan pemerintah semi keselamatan bersama ...semoga kita semua terjauh dari virus ini…,positif
84,Yetti Finolisa,Hanya pohon lah yg mampu menghancurkan virus ini. salah satu fungsi pohon adalah menyaring udara yg kotor,netral
85,Tio Maryadi,"Tidak ada satu negara pun dibelahan dunia ini yg siap menerima wabah ini, ini tak bisa diprediksi, bukan saatnya salah kan pemerintah atau negara lain.",positif
86,Tio Maryadi,"Saatnya kita mawas diri, mulai dr hal kecil, ikuti aturan pemerintah",positif
87,CROSS FISHING,Pasti ada jalan keluar untuk bebas dari virus corona ini...... ,netral
88,imam darmawan,"Tuhan beri berkat untuk Bapak Jokowi .  Terima kasih . Kau telah tunaikan tugasmu dengan sangat baik, sebagai pemimpin . Terima kasih pak",netral
89,LIMBOK BLITAR CHANNEL,"Smoga corona cepat berlalu, Rakyat Indonesia smoga selalu dalam Lindungan Allah",netral
90,Boncos Joosss,"Kembali lg ke masyarakatnya yg bandel, padahal pemerintah udah kasih aturan yang bijak demi keselamatan bersama",positif
91,Ahmad Yani,"pemerintah indonesia tidak tegas dan kerja nya sangat lambat, kenapa warga cina masih dibiarkan masuk ke indonesia?",negatif
92,Permula Permula,"Pemerintah indonesia skrng sangat menuhankan china terlalu berharap banyak kepada negara komunis china mulai dari barang2 import sampai TKA semua dari china, sprtinya sah2 saja klw corona pun harus singgah ke indonesia dan kita semua rakyat harus terima kedatangan corona jgn menyesal",negatif
93,naibin009,Yg perlu kita sesali itu kenapa pemimpin kita harus jokowi dan kenapa harus PDIP yg berkuasa pdahal kita tau tanpa china PDIP tidak mungkin menjadi partai besar dan tanpa komunis maka PDIP sepi pengikut.,negatif
94,Zadista Zadista,"Udah baik pak jokowi dan pemerintah keluar kan aturan supaya virus covid segera selesai, tapi rakyat nya masih kurang puas ",positif
95,Dicky DK,Jadi gini klo kita disuruh diam dirumah pemerintah ngasih suplai makanan dan kebutuhan pokok gk??? Atau kita emg dibiarin mati kelaparan gitu???,negatif
96,Joe1 Coex,Bergeraknya dari bawah jdi penanganan satgas covid 19 di bentuk dari tingkat RT pak terus ke rekening kelurahan dan kecamatan itu lebih efektif dan gak kecolongan karena basisnya dari bawah buat jaring seperti dlm sistem pemilu di setiap rt di wajibkan melaporkan diri dan di data apabila ada warga yg belum melapor dari satgas rt setempat wajib jemput bola dari satgas rt terdiri dari beberapa team yg setiap team di dampingi  minimal 1 dokter,positif
97,project channel,"coba pengemis gelandangan di cek juga siapa tau mereka juga bisa terkena... dan mungkin bisa menularkan ke warga sekitar, demi kebaikan bersama",positif
98,Sania Salma,Ayo pk jokowi jangan biarkan ini semua terlambat.. atasi secepatnya tindak dgn tegas..,positif
99,Sania Salma,"ayo kita sama2 patuhi aturan pemerintah, jangan sampai virus ini semakin berkembang",positif
100,Lia Iriani,Km d daerah ingin rapid test bagaimana caranya?,positif
101,Lia Iriani,Sy & keluarga mendoakan semoga pak jokowi sehat trs .... Utk memimpin negeri km tercinta Indinesia,netral
102,asih siensen,Tetap pake masker untuk kesehatan semua orang,positif
103,Yudi Mardani,"Saya sangat prihatin sekali dengan kondisi sekarang dengan wabah covid 19,",netral
104,Yudi Mardani,"saya tidak pernah bosan menghimbau terus menerus setiap hari pakai masker, cuci tangan, jaga jarak Pemerintah harus segera bertindak cepat, tepat dan tegas sebelum hal terburuk terjadi di negara Kita. sejak awal adanya wabah ini sampai sekarang
",positif
105,WH Memai,"Penanganan indo gak jelas, apa aku doang yang benci sama sistem pemerintah",negatif
106,WH Memai,peraturan pemerintah gak jelas,negatif
107,Romadhon Ismail,Jangan langkah langkah corona aja pak di urus tapi ekonomi dan pajak harus di tangani pak saya mohon trima kasih,positif
108,Haji Ahmad9999,Corona hilang penyakit hoax masih kuat..  hancur ekonomi  mulai thn 2020,negatif
109,Eko Susilo,"Hanya sebatas langkah langkah yang tak pasti yang di keluarkan pemerintah, miris",negatif
110,Kuplek Brian spot fishing,"Tolong pak Jokowi persulit orang asing masuk ke Indonesia, untuk kebaikan rakyat pak",positif
111,Siddi Sidarama,"Akui saja sudah gagal, bikin sayembara seperti zaman kerajaan dulu, saya ikut, siapa tahu hadiahnya sebesar dana yang sudah dikeluarkan satu bulan ini, ujungnya janji mau dibayar, tapi nanti kalau sudah dianggarkan dan uangnya sudah ada, karena apbn saja pakai defisit anggaran, belum cicilan hutang luar negeri, belum lagi tol yang tidak menghasilkan, kasihan, ini pertanda gagal total",negatif
112,Siddi Sidarama,sekarang kehilangan nafkah karena pemerintah gagal mengatasi wabah covid 19 ini,negatif
113,koclok Keman,"Lbih banyak korban yg mati gantung diri ,stres, klaparan, gila.
Gara2 lockdown dri pada yg terkena virus.",negatif
114,Aripuja Kusuma, akibat lockdown akan lebih banyak yang mati kelaparan dari pada pasien corona...,negatif
115,Zoel Man,semoga dengan peraturan pemerintah lockdown dapat mengurangi angka penyebaran virus corona di indonesia,positif
116,Salwa Bae,Semoga bp jokowi slalu dalam lindungan mu ya alloh amin.,netral
117,Udang Pepes,"Langkah2 langkah terus, tapi gak ada tindakan nyata dari pemerintah",negatif
118,Beng Beng,lockdown akan membunuh rakyat miskin secara perlahan ,negatif
119,Juliani Juliani,Sekarang pemerintah panik mau ada darurat sipil segala yg jadi korban rakyat dan rakyat dari dulu,negatif
120,Nabilla Audi Valenzia,"solusi pemerintah sama sekali tidak membantu untuk kuli bangunan sama buruh kasar, kami yang kadang dapat uang kadang tidak akan mati kelaparan",negatif
121,Nanda Jaya,"punya presiden tapi gak tegas sama sekali, indonesia bakal hancur ",negatif
122,Ubaid Zubair,Gak usah panik. Ternyata banyak orang nongkrong di warkop karena perkataan pemerintah yang tolol,negatif
123,dengil tv ngapak,"Kenapa baru sekang menteri kesehatan dan bapak presiden  membicarakan soal covid19 .
Seharusnya dari 2 bulan yang lalu bandara harus di tutup untuk mencegah covid19... Eh malah pemerintah santai santai ajah soal covid19.",negatif
124,Devina Salma,"Pak jokowi tolong ulurkan  bantuan baik yg sakit atau yang tidak.... Yang tidak keluar rumah yang kehidupannya minus dibantu biaya  makannya.... Karena tidak bekerja, tapi kenyataannya yg dapat bantuan malah yg kaya raya, miris sama pemerintah sendiri",negatif
125,Andi Refandi sukses,"Sebenarnya pemerintah harus memberi aturan bahwa pom bensin suruh tutup agar masyarakat gak bisa kemana mana .dikarenakan virus ya sedang melanda Indonesia, saya rasa ini baru efektif untuk mengurangi angka penyebaran covid19",positif
126,Taufik rcm,pemerintah indonesia Ga serius urus corona... Terlalu santai dan anggap sepele... ,negatif
127,Arif Sasmitra,"Ada hikmah yg baik,, tp jg sekaligus peringatan dr Allah. InsyaAllah
Mungkin selain terapkan langkah2 dari pemerintah, jg mematuhi peraturan"" dr( agama) Allah. Bertaubat, Senantiasa berwudhu, Terapkan hidup bersih serta penting memakai masker. ",positif
128,Heru Setiawan,"saya ada ide untuk pemerintah mengerahkan petugas puskesmas berkeliling kampung memeriksa warganya, dengan alat tes suhu tubuh, dan bila ada warga yang terindikasi segera diambil sampel darahnya untuk diperiksa dengan alat repid tes di labotarium. Sehingga kematian dan penularan cepat dicegah.",positif
129,Yan Adihendrawan,sampai detik ini tidak ada ketegasan dari presiden dan pemerintah indo sama sekali.,negatif
130,eny sinarrizki,ribet banget aturan pemerintah,negatif
131,Dudi Cnc,"Indonesia mungkin bisa lebih parah dari italy, soalnya indonesia penduduknya lebih banyak, turis asing masih bebas berseliweran ,pekerja, buruh pada masih beraktivitas, untuk penularan sangat pesat, masyarakat biar gimana pun pasti panik, yg kita hadapi virus yg mematikan ,bukan serangga kaya wereng...",netral
132,Aco Fay,"Langkah bapak ketinggalan, negara lain sudah melangkah jauh, bapak masih duduk santai, giliran dah gini baru jalan...",negatif
133,Muhammad Andre,"Alhamdulillah di daerah saya belum ada yang terkena virus Corona, dan sekolah tidak dilburkan",netral
134,GABER 17,"Korban trs bertambah pak.. bapak kerja nya apa sih, bego banget jadi presiden",negatif
135,Afifa Abyan,Stupid pemerintah indonesia ini,negatif
136,Rachma Lestari,"Stop migrasi tka dr cina ke sulawesi ato daerah manapun d indonesia, agar virus covid19 tidak semakin menyebar",positif
137,SERENADA RPRD,"Omong kosong dengan aturan pemerintah, gak berguna bagi rakyat miskin",negatif
138,Dennies Denis,Sya bingung SMA pemerintah. WNI dari cina mau pulang aja di karantina dulu. Tapi mengapa orang asing datang dengan selonong boy ke Indonesia. Contoh yg di wilayah Depok. Itukan asal nya tamu dari cina kenapa bisa langsung masuk ke Indonesia aneh.,negatif
139,Masih Pelajar,semoga dengan lockdown indonesia segera bebas dari virus covid19 ini,positif
140,Riko master youtub,Gak usah banyak omong pak presiden terhormat ...kami mau tutup semua jalur udara dan jalur laut.. itu yg kami mau..,negatif
141,Rajes Herman Aefea,Pemerintah perlu tegas menutup kunjungan bagi warga negara asing,positif
142,Desin monotia,"Ayo kita dukung pemerintah dalam mencegah penyebaran virus corona.  Jangan panik namun tetap waspada dan selalu berdoa,  ikuti nasehat dari pemerintah dan WHO",positif
143,MIB,"Lockdown 1 hari = kehilangan supply kebutuhan termasuk kebutuhan pokok untuk 14 hari (2 minggu).
Lockdown nya 10 hari = bisa pada kelaparan 5 bulan karena terputusnya pasokan kebutuhan pokok.",negatif
144,Ihsan Rosady,"pemerintah terlalu santai, gak tegas sama sekali",negatif
145,Dodi Haryadi,Bandara tutup aja biar orang dari luar negeri gk masuk,positif
146,Gloria Yoshepine,"Pak Jokowi ini udah 96 orang dan belum di lockdown..
tunggu bapak2 terhormat semua kena virus corona baru indonesia di lockdown ",negatif
147,eLtidary,"yang penting presiden itu harus merakyat, pro investasi & pancasila.. corona mah bukan urusan saya.. Ambyar Rakyatmu pakde",negatif
148,fahmi ami,"ini akibat militer mengisi jabatan disekitar presiden, jadi semua ditutup tutupi",negatif
149,Oritama Zulfikar,Ga layak jadi pemimpin ga ada ketegasan untuk menyelamatkan warganya ,negatif
150,Indria Happy,"Pemerintah tidak mau ada kesalahan,  mereka tau yang terbaik yang dilakukan.",positif
151,009 Anindya Cinta Pertiwi,"gak akan selesai ini virus kalau slogan presiden nya saja santai, punya presiden kok bego, dasar psikopat",negatif
152,Jimmy Vordick,Percuma lockdown kalau turis tetep masuk ,negatif
153,nisa cantik,pak presiden tutup aja semua penerbangan asing ke Indonesia tutup semua akses dari luar. baik yg dari laut maupun dari darat mumpung blm terlambat ,positif
154,barbatos king,"Negara lain udah mulai lockdown ,presiden kita malah santai, lemah banget",negatif
155,Abud Geming abud,"presiden dan pemerintah indonesia Terlalu meremehkan virus ini, gak pikir kan keselamatan rakyatnya, kecewa",negatif
156,Joyo Suryo,Lambat banget kerja pemerintah,negatif
157,Galang Pengging,"Tolong di tutup semua penerbangan khususnya penerbangan luar negeri, untuk mengurangi penyebaran covid19",positif
158,Ridla yandhani,"pemerintah terlalu sibuk urus pariwisata, warga nya mati kelaparan dan kena covid",negatif
159,Aditya Juwan,"Pemerintah masih tetap ambil resiko, seharusnya kalo kondisi udah semakin banyak yg kena virus korona, dari awal seharusnya pemerintah karantina semua warga negara, jadi bukan cuma menjaga pintu 2x masuk, keluar negeri, tapi menutup semua pintu masuk dan keluar negeri.",negatif
160,Navis Mohamad,"Serius baru ditangani ketika sudah ada yg tertular, dari awal pak harusnya yg dr negeri cina di waspadai jangan sampai masuk k Indonesia dulu..  Kalo udah kaya gini kan..  Baru keteteran",negatif
161,Titi Nurhayatus soleha,"Gimana mau sembuh dan selesai ini virus di indo kalau bandara masih buka, tutup dong biar ngga menular",negatif
162,ANANABAE CHANNEL,pemerintah sepertinya gak serius menghadapi virus covid19,negatif
163,rifsep TEAM GARPU TALA,Jgn cuman cari untung doang cepet lockdown woi lemot amat ..,negatif
164,syahrul rezi,"Kecewa banget asli , gak sangka pak jokowi se santai ini hadapi covid19",negatif
165,Alimun Zaeed,"Kemarin saya ada gejala corona, awalnya blanja di toko cina, habis itu suhu badan naik, batuk, pilek,, saya pnya bpjs, tapi saya tak mau berobat ke dokter, kasian klo dokternya mati kena virus,, akhirnya minum wedang jahe, makan sayur buah pepaya, dan juga minum ultra flu,, 4 hari saya di karantina di kamar tidur sendiri,, sekarang sudah sehat bisa kerja ke sawah lagi",netral
166,Mery Chiang,"Mantap Pak, semoga lockdown bisa atasi wabah virus corona di indo...",positif
167,Hendri Pamujianto,"pemerintah indo terlalu Lamban, kecewa... harusnya di beri tahu daerah mana aja.. klo perlu di lockdown. ",negatif
168,Fajar Muhammad,"mau tanya, coba tolong tunjukan rontgen pasien covid 19, apakah ada hasil rontgennya? bukannya rontgen bisa mengetahui penyakitnya ataupun virus?",netral
169,Erhy Futsall,"Dana triliunan rupiah kemana semua?? aneh..‚ yg selalu salah rakyat, dasar pejabat stupid...",negatif
170,Warsin Pratama,"Penyebaran kovid 19 hoak gak bakalan hilang dan terus berlanjut ,karna saya mimpi sedunia yg memuja dajal",negatif
171,Kay Bee,Sebentar lg mgkn testernya pak,netral
172,Pro Master,Doakan yg terbaik untuk negara ini. Amin. Indonesia semakin maju dan sejahtera. Amin,netral
173,Silvianti Malela Rizkiyah,"Dari dulu, mestinya pelayanan kesehatan memang harus di perhatikan dan di perbaiki. Bukan hanya karena pandemi. Kecolongan sekarang kan, jadinya.",negatif
174,R1SK1-:,Semoga aku gk di suntik Takut,netral
175,STREWZ Ewong,di indo org sakit nya beda di bilang sakit covid lucu ini Indonesia. pembohong semua ini oknum,negatif
176,hajijah ijah,"berantas saja dulu itu oknum2 yang meng covid kan pasien bukan covid, jangan tutup mata kalian, laknat kalian yang membuat kebohongan dan yang memalsukan data2 covid",negatif
177,Bagas Setya,Jangan beritakan corona supaya corona di indonesia nol /tidak. ada. gampang kan,negatif
178,Ali Said,Setiap rumah sakit harus di pantau juga takut tidak kena covit bilang covit bangkrut negara tolong ini harus di perhatikan,netral
179,Nuri Wibi,Bohong doang rumah sakitnya....,negatif
180,bardi dhiaz,Lebih baik melawan covid dengan banyak makan bergizi dan bervitamin serta banyak bergerak biar berkeringat...,netral
181,bardi dhiaz,"percuma pakai masker kalau asupan gizi tidak ada, sama saja bohong",negatif
182,Imron Zhico,Dah lah gue males sama penanganan nya banyak cara namun sama saja tetep menyebar intinya tong kosong nyaring bunyinya,negatif
183,AlexKudabesi AlexKudabesi,"gak kenal covid gw, gw butuh pekerjaan",negatif
184,Mahmud Amud,Gimana engga mau selesai sakit apa aja dibilang corona.,negatif
185,Agni Baharudin F,Bau Bau Cocot terus,negatif
186,Yahya Awezome,"Sebentar lagi puasa, sebentar lagi lebaran... Akankah suasananya begini lagi masihkah diganggu oleh covid-19",netral
187,Cong Berong,"sebenarnya media ini yang buat pemerintah jelek di mata masyarakat, memberi berita yang tidak jelas sumbernya",netral
188,alam desa,"Yang masih banyak terjadi, mengcovidkan orang yang meninggal. Jadi banyak keluarga yang gak terima, dan makin bodoh amat dengan covid,... Yang terjadi orang sakit parah takut ke rs, takut periksa, karena dikit2 covid, ada juga dia jelas covid tapi karena gk pernah periksa 1 keluarga meninggal semua.... Ini terus terjadi dari dulu... Kok baru sekarang memperbaki....",negatif
189,Scooter INDEPENDEN,"Masukan Masyarakat tidak di dengar sama pemerintah, jadi ya sudah kita juga masyarakat tidak mau patuh arahan pemerintah",negatif
190,Violla Metalia,Bencana apapun di indonesia selalu di manfaatkan pemerintah. Kan kesempatan dana cair,negatif
191,jordan,Corona itu ga ada gw ga percaya,negatif
192,Satrio Elang,Semoga Corona cepat berakhir,netral
193,Ibnu Uhuy,CORONA DI INDO MAKIN PARAH,netral
194,esha natasya,"Corona yg besar beritanya,,, corona jadi ajang unjuk kekuatan yg punya kekuasaan dan jabatan,,",negatif
195,Abu Solichin,"Ada yg salah sepertinya pak dalam penanganan covid ini, dana yg cukup besar terserap di rmh sakit dan pemakaman.",negatif
196,Jaki Saputra,"padahal pemerintah udah berusaha yang terbaik, tapi sikap masyarakat nya tdk disiplin",positif
