id,username,text,text_clean,label
21,Dwi Heru Prasetyo,"Judulnya full strategi atasi, bukan full strategi mencegah...",judul full strategi atas bukan full strategi cegah,netral
22,Keep Strong For J,Ceritanya kita lagi lockdown nih?,cerita lockdown,netral
23,Shall 1245,"Lekas membaik negeriku,",lekas baik negeri,netral
24,Ryan,"Sudah ada HIMBAUAN dari pemerintah dan kepolisian jangan ada yang keluar rumah, kumpul kumpul dan nongkrong ga jelas tapi masyarakat nya KERAS KEPALA. Manusia kaya gitu seret aja ke rumah sakit supaya mengurangi PASIEN POSITIF CORONA",sudah ada himbauan pemerintah polisi jangan ada keluar rumah kumpul kumpul kumpul tidak jelas masyarakat keras kepala manusia kaya gitu seret rumah sakit supaya kurang pasien positif corona,positif
25,Gunawan Wibisono,Ngomong apa sih.... Masukan terus aja lho tka cina biar ada pendapatan buat negara......,bicara masuk loh tenaga kerja asing cina biar ada dapat buat negara,negatif
26,pakde LHIEMBONK LHIEMBONK,dekat dengan ALLAH.. dan banyak bersedekah. corona akan segan sm kita..,dekat banyak sedekah corona segan sama,netral
27,Wahyu Utama,Stop aja orang luar ke indonesia ,henti orang luar indonesia,positif
28,Ony pramudya,Tutup pak presiden penerbangan dr luar negeri .,tutup pak presiden terbang luar negeri,positif
29,ABENA,"jangan takut sama Corona, kita hanya di bodohi pemerintah",jangan takut sama corona hanya tipu pemerintah,negatif
30,BS," sekedar saran agar pemerintah bekerja sama dg ustad"" agar menghimbau masyarakat mencegah penularan Corona, masyarakat akan lebih patuh jika yg menghimbau adalah ustad ayo ulama' lengkap dg dalilnya,.",dar saran pemerintah kerja sama ustad menghimbau masyarakat cegah tular corona masyarakat lebih patuh menghimbau ustad ulama lengkap dalil,positif
31,asinar,"semoga segera bebas dari� virus CORONA, biar kembali seperti dulu lagi, amin",moga segera bebas virus corona biar kembali seperti dulu,netral
32,èª…ä»™é’é›²å¿— é™¸é›ªçª,"saudara saudari di seluruh Indonesia mari kita bersatu menghentikan COViD� ini , karena virus� menular melalui hidung , mulut dan kulit , oleh karena itu� , jaga jarak 1 meter , pakai masker kalau keluar rumah , dan cuci tangan� dan muka kalau pulang rumah , hindarilah jabat jangan , pakailah cara lain bersalaman� terapkanlah ini di seluruh Indonesia",saudara saudari seluruh indonesia satu henti covid virus tular lalu hidung mulut kulit jaga jarak meter pakai masker keluar rumah cuci tangan muka pulang rumah hindar jabat jangan pakai cara salam terap seluruh indonesia,positif
33,rafaqira,"gimana sih pemerintah kok pilih kasih, masa tes nya hanya di kota, kita yang di desa juga butuh pak",gimana pemerintah pilih kasih masa tes hanya kota desa butuh pak,negatif
34,Delvi Picarima,"Sy tinggal di Jakarta, sangat kecewa sy melihat klakuan orang2 disini, dari yg remaja sampai yg sdh lansia sangat super susah di himbau untuk waspada corona, bahkan msh banyak yg beranggapan dan membuat lelucon tentang situasi pandemik global ini cuma isu yg dibesar2kan . entah sudah berapa banyak carrier disini yg belum terdeteksi",tinggal jakarta kecewa lihat laku orang sini remaja sampai sudah lansia super susah himbau waspada corona masih banyak anggap buat lelucon situasi pandemi global cuma isu besar entah sudah berapa banyak bawa sini belum deteksi,positif
35,Abdullah Indra,"Gratis kan biaya internet dong Pemerintah , 2 bulan gitu.. Jamin auto isolasi diri dirumah... biar mantengin drama korea aja buat social distancing.. haha",gratis biaya internet pemerintah bulan gitu jamin auto isolasi diri rumah biar perhati drama korea buat jaga jarak,netral
36,Jonh Thomas 17513277,"Tka dr china jg msih bebas msk ke indonesia, cntohnya di kendari.. import virus corona",tenaga kerja asing cina masih bebas masuk indonesia contoh kendari impor virus corona,negatif
37,Mochamad Ridwan,"sedia kan makanan untuk diam dirumah , soalnya kerja harian kaya pedagang dll pasti gak akan diem dirumah karna harus mencari nafkah keluarga makan dsb. 
Ini real cerita pedagang, tukang parkir, tukang sampah dsb.",sedia makan diam rumah soal kerja hari kaya dagang pasti tidak diam rumah harus cari nafkah keluarga makan nyata cerita dagang tukang parkir tukang sampah,positif
38,Kang Dadang Sutisna,Sehat selalu pak de.. Kami siap lawan corona.. Siap patuhi amanat pemerintah,sehat selalu pak paman siap lawan corona siap patuh amanat pemerintah,positif
39,guE boCilL,harusnya binatang buas dikebun binatang pd dibebas liarkan biar orang2 pd diam di rumah,harus binatang buas kebun binatang bebas liar biar orang diam rumah,positif
40,Mas Bei,saya ga tega sama pemerintah jika di salahkan terus. apalgi ini dollar mau 16ribu.. yg bisa bisa menimbulkan krisis... Semoga pemerintah bisa melalui cobaan ini.. Dan semua rakyat indonesia bersatu mendukung terus apa yg telah di upayakan oleh pemerintah... Demi kebaikan rakyat indonesia semua,tidak tega sama pemerintah salah dollar mau ribu bisa bisa timbul krisis moga pemerintah bisa lalu coba semua rakyat indonesia satu dukung upaya pemerintah demi baik rakyat indonesia semua,positif
41,adammi,lockdown ini mungkin udah usaha yang terbaik dari pemerintah,lockdown mungkin udah usaha baik pemerintah,positif
42,renaa23,Kira kira lockdown adalah jalan yg terbaik.. Meski harus banyak resiko... Yg akan kita lalui... Asalkan rakyat indonesia kompak.. Mematuhi insyaallah pasti bisa,lockdown jalan baik meski harus banyak resiko lalu asal rakyat indonesia kompak patuh pasti bisa,positif
43,Pandito Putro,Rapid test ini apakah gratis ? Krn untuk test covid 19 ini di RS biayanya 500-600 ribu,rapid tes gratis tes covid rumah sakit biaya ribu,netral
44,Maya Maryanti,Kebayang ga pemerintah pusing nya kayak apa siap kan ini semua. ayo lah kita patuhi aturan pemerintah demi kebaikan indonesia,bayang tidak pemerintah pusing siap semua patuh atur pemerintah demi baik indonesia,positif
45,Maya Maryanti,ayo lah ini masalah bersama.. .ikuti aturan dari pemerintah,masalah sama ikut atur pemerintah,positif
46,IxWin Gt,Semoga sebelum bulan puasa covid sudah hilang amin,moga belum bulan puasa covid sudah hilang,netral
47,Hendra Dharmawi,"Pak tolong masker di sumbar ditambah pak, Semoga Tuhan melindungi kita semua",pak tolong masker sumatera barat tambah pak moga tuhan lindung semua,positif
48,Kang Victz,"Ketika negara lain sudah mengurangi suspect corona di indonesia justru terus bertambah korban meninggal..
FAKTA.. Karena pemerintah kerjanya lambat",ketika negara sudah kurang korban corona indonesia justru tambah korban tinggal fakta pemerintah kerja lambat,negatif
49,Mein Liebe,"Buat pemerintah, tolong diperhatikan juga untuk keamanan dari para petugas medis dan instansi medis yang berjuang. stok alat pelindung diri spt masker, dll tolong segera dipenuhi. kalau bisa untuk instansi2 yang terkait dengan penanganan corona mendapat subsidi biaya operasional terkait listrik, air, gas, dll.",buat pemerintah tolong perhati aman para tugas medis instansi medis juang stok alat lindung diri seperti masker tolong segera penuh bisa instansi kait tangan corona dapat subsidi biaya operasional kait listrik air gas,positif
50,riky septian,Wakil presiden kita kemana ya? kok tidak ada kerja nya ,wakil presiden mana tidak ada kerja,negatif
51,Moh Syahid,Indonesia ini gak setegas seperti saudi arabia ...,indonesia tidak tegas seperti saudi arabia,negatif
52,KANG CIMOT,Saya mau nanya jika kena Corona apakah pas di isolasi bakal bayar?,mau nanya kena corona ketika isolasi bakal bayar,netral
53,ilyas kholil,"saya juga bingung pak, mau kasih makan apa anak dan istri di rumah kalau lockdown",bingung pak mau kasih makan anak istri rumah lockdown,negatif
54,Syah Fishing,bentar lagi indonesia makin padat pendukduknya amin.,bentar indonesia makin padat duduk,netral
55,Richie Chandra,"kebanyakan bohong pemerintah, janji katanya bantu rakyat miskin, buktinya nol",banyak bohong pemerintah janji kata bantu rakyat miskin bukti nol,negatif
56,Queflis JJ,"Para kader partai pada kemana, giliran kampaye aja bagi2 kaos sama spanduk.. Skrang ada virus kemana.. Bagi2 masker sama antis lah jika kalian mau di pilih sama rakyat",para kader partai mana gilir kampanye bagi kaos sama spanduk sekarang ada virus mana bagi masker sama antiseptik mau pilih sama rakyat,netral
57,j j,Ayo cepat pk. jgn lambat menangani jgn sampai meluas .virus ini. sayangi rakyatnya dan rakyat kecil.,cepat pak jangan lambat tangan jangan sampai luas virus sayang rakyat rakyat kecil,positif
58,Oski Blarblar,"Terlihat belom siap, padahal udah peringati sama WHO jauh beberapa bulan sebelum covid19 masuk indonesia, lucunya indonesiaku awokwkwk",lihat bom siap udah ingat sama who jauh beberapa bulan belum covid masuk indonesia lucu indonesia,negatif
59,Zulkifli Adi,Ngomong doang lu antek cina,bicara ikut cina,negatif
60,K.O.K,"Ini masih dalam spekulasi dan dugaan saya, menurut saya kapur barus dan suara berfrekuensi tinggi mampu mencegah Covid-19",masih spekulasi duga turut kapur barus suara frekuensi tinggi mampu cegah covid,netral
61,Putri Yusuf,"Smg virus di dunia ini cpt berlalu dn musnah jgn pernah kembali lagi,,",moga virus dunia cepat lalu musnah jangan pernah kembali,netral
62,Bony Nurzaman,Virus cina,virus cina,negatif
63,Ajie Setiaji,"hasil rapid test seharusnya diumumkan, supaya publik tahu berapa yang positif dan berapa yang negatif, yang mencerminkan proporsi penyebaran di antara penduduk. Penyebaran akan berkurang kalau yang positif lebih banyak, artinya yang kebal sudah bamyak",hasil rapid tes harus umum supaya publik tahu berapa positif berapa negatif cermin proporsi sebar antara duduk sebar kurang positif lebih banyak arti kebal sudah banyak,negatif
64,Iing Syamsul Bachri,Pak jokowi terima kasih  atas fasiltas... dan pelayanan pemerintah..,pak jokowi terima kasih atas fasiltas layan pemerintah,positif
65,Dandi Saputra,"Ya Allah ... sebentar lagi ramadhan... hilangkanlah virus corona di muka bumi ini, agar kami semua umat muslim bisa kembali beribadah dengan leluasa ,biar anak2 bisa kmbali mnuntut ilmu, biar anak2 bisa bermain dengan ceria... mari saudaraku seiman kita minta brsma2 agar semua cepat membaik...",sebentar ramadhan hilang virus corona muka bumi semua umat muslim bisa kembali ibadah leluasa biar anak bisa kembali tuntut ilmu biar anak bisa main ceria saudara iman minta sama semua cepat baik,netral
66,Arin Khoir,"pak.. sebaiknya ceritakan gaya hidup/ pola hidup orang2 yg sembuh, yg meninggal, yg kontak kasus tp tidak terpapar dan kontak terpapar..biar jd bahan masyarakat bagaimana cara mengatasi virus ini",pak baik cerita gaya hidup pola hidup orang sembuh tinggal kontak kasus tidak papar kontak terpaparbiar jadi bahan masyarakat bagaimana cara atas virus,positif
67,Reza Andre,"WNA dilarang masuk ke indonesia, bukan malah dibebasin",warga negara asing larang masuk indonesia bukan malah dibebasin,negatif
68,fitri ani,"Usul Pak untuk pecegahan virus korona seharusnya di tindak lanjuti di semua Bandara, setiap pendatang yg dari luar Negeri ke Indonesia entah itu mau liburan/ berkunjung dll sebagainya itu orang2 harus di cek Suhu Panasnya klo terdapat suhu panas tinggi di mohon untuk di dampingi  untuk cek kesehatan di rumah sakit, supaya jelas suhu tinggi di akibatkan kena firus corona apa gak, klo jelas kena firus korona harap di Isolasi supaya firus korona tidak menyebar ke orang2 yg di sekitar. ",usul pak cegah virus corona harus tindak lanjut semua bandara tiap datang luar negeri indonesia entah mau libur kunjung bagai orang harus cek suhu panas dapat suhu panas tinggi mohon damping cek sehat rumah sakit supaya jelas suhu tinggi akibat kena virus corona tidak jelas kena virus corona harap isolasi supaya virus corona tidak sebar orang sekitar,positif
69,Ivanos Ide,Semoga pak Jokowi sehat selalu dan tegar dgn kondisi yg dihadapinya.,moga pak jokowi sehat selalu tegar kondisi hadap,netral
70,Ayri 23,Semangat Indonesia ku lawan korona pasti kita bisa semangat,semangat indonesia lawan corona pasti bisa semangat,netral
71,Rimuru Tempest," jika dari awal tidak meremehkan, dari awal bersiap diri.. ini semua tdk harus terjadi.. harus ada yg berteriak..  harus nunggu manusia sakit dan mati, baru beli alat tesnya..",awal tidak remeh awal siap diri semua tidak harus jadi harus ada teriak harus nunggu manusia sakit mati baru beli alat tes,negatif
72,Lusi Tulungagung,Mohon pd bapak presiden jg kesehatan bapak mg allah selalu melindungi bapak mg bapak sehat trs & dimudahkan untk menangani musibah ini amin,mohon bapak presiden sehat bapak moga selalu lindung bapak moga bapak sehat mudah tangan musibah,netral
73,Kristin Channel,Bapak juga harus sehat terus yah pak..,bapak harus sehat pak,netral
74,Widodo Pare,setuju pak presiden. mantap semoga sehat pak presiden jokowi,tuju pak presiden mantap moga sehat pak presiden jokowi,netral
75,marty Aryadi,"Andai saja setiap rt/ rw diberikan alat lengkap untk mendetski virus corna, buat warganya dan diwajibkan warganya memeriksa kesehatan disetiap rt/ rw masing2 .mungkin bisa gampang terdeteksi, dan warga yg gk kena terpapar virus corna, wajib diksh cairan pembersih tangan /vitamin dsb ,karna banyak warga yg gk mampu beli pembersih tangan /dll  dikarenakan kelangkaan yg udh diborong oleh org yg rakus�� semoga kita dijauhkan dr virus corna, semoga seblm puasa corna hilang hanya kenangam",andai tiap rt rw beri alat lengkap deteksi virus corona buat warga wajib warga periksa sehat tiap rt rw masing mungkin bisa gampang deteksi warga tidak kena papar virus corona wajib beri cair bersih tangan vitamin banyak warga tidak mampu beli bersih tangan karena langka sudah borong orang rakus moga jauh virus corona moga belum puasa corona hilang hanya kenang,positif
76,auliaas,Selamat warga Jakarta dan sekitarnya rapid test... Yg di pelosok apa kabar ya?. Bayar ga ni?.,selamat warga jakarta sekitar rapid tes pelosok kabar bayar tidak,netral
77,Sarah Mardiana,"pemerintah ini kerjanya apa sih, apa gak mikirin keselamatan rakyatnya",pemerintah kerja tidak pikir selamat rakyat,negatif
78,putri rahayu,"susahnya mengajak masyarakat indonesia bekerja sama dengan pemerintah miris sedih, tidak seperti negara china masyarakat sangat patuh dengan peraturan pemerintah",susah ajak masyarakat indonesia kerja sama pemerintah miris sedih tidak seperti negara cina masyarakat patuh atur pemerintah,positif
79,Dwi parjiani,Indonesia berhati - hatilah semuanya karena tampaknya kita memasuki zaman perang firus antar negara- negara yang berperang dan kita terkena imbasnya hati- hati dlm bertindak.,indonesia hati hati semua tampak pasuk zaman perang virus antar negara negara perang kena imbas hati hati tindak,netral
80,mediaan medi,"sekarang Solusinya PENCEGAHAN apa pak, hanya omong doang",sekarang solusi cegah pak hanya omong,negatif
81,Arief Akbar,Telat klo mau bikin pulau isolasi skrg keburu pasiennya mati semua tahun -tahun kemarin kemana aja emang gak ada kepikiran tuh di kepala pemerintah  buat bikin pulau kyk gitu ,telat mau bikin pulau isolasi sekarang keburu pasien mati semua tahun tahun mana tidak ada pikir kepala pemerintah buat bikin pulau seperti gitu,negatif
82,mo3zi3z mo3za-azi3z,"Cara mencegah CORONA itu adalah membiar kan TKA CINA masuk negara ini dgn BEBAS seperti di kendari
Bodoh ya tetap Bodoh jae jae jae",cara cegah corona biar tenaga kerja asing cina masuk negara bebas seperti kendari bodoh tetap bodoh,negatif
83,Chris Tian,Wahai kawanku indonesia. Patuhilah aturan pemerintah semi keselamatan bersama ...semoga kita semua terjauh dari virus ini�,wahai kawan indonesia patuh atur pemerintah semi selamat sama moga semua jauh virus ini,positif
84,Yetti Finolisa,Hanya pohon lah yg mampu menghancurkan virus ini. salah satu fungsi pohon adalah menyaring udara yg kotor,hanya pohon mampu hancur virus salah satu fungsi pohon nyaring udara kotor,netral
85,Tio Maryadi,"Tidak ada satu negara pun dibelahan dunia ini yg siap menerima wabah ini, ini tak bisa diprediksi, bukan saatnya salah kan pemerintah atau negara lain.",tidak ada satu negara belah dunia siap terima wabah tidak bisa prediksi bukan salah pemerintah negara,positif
86,Tio Maryadi,"Saatnya kita mawas diri, mulai dr hal kecil, ikuti aturan pemerintah",ikhlas diri mulai kecil ikut atur pemerintah,positif
87,CROSS FISHING,Pasti ada jalan keluar untuk bebas dari virus corona ini...... ,pasti ada jalan keluar bebas virus corona,netral
88,imam darmawan,"Tuhan memberkati mu Bapak Jokowi .  Terima kasih . Kau telah tunaikan tugasmu dengan sangat baik, sebagai pemimpin . Terima kasih pak",tuhan kati bapak jokowi terima kasih tunai tugas baik bagai pimpin terima kasih pak,netral
89,LIMBOK BLITAR CHANNEL,"Smoga corona cepat berlalu, Rakyat Indonesia smoga selalu dalam Lindungan Allah",moga corona cepat lalu rakyat indonesia moga selalu lindung,netral
90,Boncos Joosss,"Kembali lg ke masyarakatnya yg bandel, padahal pemerintah udah kasih aturan yang bijak demi keselamatan bersama",kembali masyarakat bandel pemerintah udah kasih atur bijak demi selamat sama,positif
91,Ahmad Yani,"pemerintah indonesia tidak tegas dan kerja nya sangat lambat, kenapa warga cina masih dibiarkan masuk ke indonesia?",pemerintah indonesia tidak tegas kerja lambat warga cina masih biar masuk indonesia,negatif
92,Permula Permula,"Pemerintah indonesia skrng sangat menuhankan china terlalu berharap banyak kepada negara komunis china mulai dari barang2 import sampai TKA semua dari china, sprtinya sah2 saja klw corona pun harus singgah ke indonesia dan kita semua rakyat harus terima kedatangan corona jgn menyesali",pemerintah indonesia sekarang tuhan cina terlalu harap banyak kepada negara komunis cina mulai barang impor sampai tenaga kerja asing semua cina seperti sah corona harus singgah indonesia semua rakyat harus terima datang corona jangan sali,negatif
93,naibin009,Yg perlu kita sesali itu kenapa pemimpin kita harus jokowi dan kenapa harus PDIP yg berkuasa pdahal kita tau tanpa china PDIP tidak mungkin menjadi partai besar dan tanpa komunis maka PDIP sepi pengikut.,perlu sesal pimpin harus jokowi harus pdip kuasa tahu tanpa cina pdip tidak mungkin jadi partai besar tanpa komunis pdip sepi ikut,negatif
94,Zadista Zadista,"Udah baik pak jokowi dan pemerintah keluar kan aturan supaya virus covid segera selesai, tapi rakyat nya masih kurang puas ",udah baik pak jokowi pemerintah keluar atur supaya virus covid segera selesai rakyat masih kurang puas,positif
95,Dicky DK,Jadi gini klo kita disuruh diam dirumah pemerintah ngasih suplai makanan dan kebutuhan pokok gk??? Atau kita emg dibiarin mati kelaparan gitu???,jadi gin suruh diam rumah pemerintah beri suplai makan butuh pokok tidak dibiarin mati lapar gitu,negatif
96,Joe1 Coex,Bergeraknya dari bawah jdi penanganan satgas covid 19 di bentuk dari tingkat RT pak terus ke rekening kel dan kecamatan itu lebih efektif dan gak kecolongan karena basisnya dari bawah buat jaring seperti dlm sistem pemilu di setiap rt di wajibkan melaporkan diri dan di data apabila ada warga yg belum melapor dari satgas rt setempat wajib jemput bola dari satgas rt terdiri dari beberapa team yg setiap team di dampingi  minimal 1 dokter,gerak bawah jadi tangan satu tugas covid bentuk tingkat rt pak rekening lurah camat lebih efektif tidak colong basis bawah buat jaring seperti sistem milu tiap rt wajib lapor diri data apabila ada warga belum lapor satu tugas rt tempat wajib jemput bola satu tugas rt diri beberapa tim tiap tim damping minimal dokter,positif
97,project channel,"coba pengemis gelandangan di cek juga siapa tau mereka juga bisa terkena... dan mungkin bisa menularkan ke warga sekitar, demi kebaikan bersama",coba emis gelandang cek siapa tahu bisa kena mungkin bisa tular warga sekitar demi baik sama,positif
98,Sania Salma,Ayo pk jokowi jangan biarkan ini semua terlambat.. atasi secepatnya tindak dgn tegas..,pak jokowi jangan biar semua lambat atas cepat tindak tegas,positif
99,Sania Salma,"ayo kita sama2 patuhi aturan pemerintah, jangan sampai virus ini semakin berkembang",sama patuh atur pemerintah jangan sampai virus makin kembang,positif
100,Lia Iriani,Km d daerah ingin rapid test bagaimana caranya?,daerah ingin rapid tes bagaimana cara,positif
101,Lia Iriani,Sy & keluarga mendoakan semoga pak jokowi sehat trs .... Utk memimpin negeri km tercinta Indinesia,keluarga doa moga pak jokowi sehat pimpin negeri cinta indonesia,netral
102,asih siensen,Tetap pake masker untuk kesehatan semua orang,tetap pakai masker sehat semua orang,positif
103,Yudi Mardani,"Saya sangat prihatin sekali dengan kondisi sekarang dengan wabah covid 19,",prihatin sekali kondisi sekarang wabah covid,netral
104,Yudi Mardani,"saya tidak pernah bosan menghimbau terus menerus setiap hari pakai masker, cuci tangan, jaga jarak Pemerintah harus segera bertindak cepat, tepat dan tegas sebelum hal terburuk terjadi di negara Kita. sejak awal adanya wabah ini sampai sekarang
",tidak pernah bosan menghimbau terus tiap hari pakai masker cuci tangan jaga jarak pemerintah harus segera tindak cepat tepat tegas belum buruk jadi negara sejak awal ada wabah sampai sekarang,positif
105,WH Memai,"Penanganan indo gak jelas, apa aku doang yang benci sama sistem pemerintah",tangan indonesia tidak jelas benci sama sistem pemerintah,negatif
106,WH Memai,peraturan pemerintah gak jelas,atur pemerintah tidak jelas,negatif
107,Romadhon Ismail,Jangan langkah langkah corona aja pak di urusin tapi ekonomi dan pajak harus di tangani pak saya mohon trima kasih,jangan langkah langkah corona pak urusin ekonomi pajak harus tangan pak mohon terima kasih,positif
108,Haji Ahmad9999,Corona hilang penyakit hoax masih kuat..  hancur ekonomi  mulai thn 2020,corona hilang sakit berita bohong masih kuat hancur ekonomi mulai tahun,negatif
109,Eko Susilo,"Hanya sebatas langkah langkah yang tak pasti yang di keluarkan pemerintah, miris",hanya batas langkah langkah tidak pasti keluar pemerintah miris,negatif
110,Kuplek Brian spot fishing,"Tolong pak Jokowi persulit orang asing masuk ke Indonesia, untuk kebaikan rakyat pak",tolong pak jokowi sulit orang asing masuk indonesia baik rakyat pak,positif
111,Siddi Sidarama,"Akui saja sudah gagal, bikin sayembara seperti zaman kerajaan dulu, saya ikut, siapa tahu hadiahnya sebesar dana yang sudah dikeluarkan satu bulan ini, ujungnya janji mau dibayar, tapi nanti kalau sudah dianggarkan dan uangnya sudah ada, karena apbn saja pakai defisit anggaran, belum cicilan hutang luar negeri, belum lagi tol yang tidak menghasilkan, kasihan, ini pertanda gagal total",aku sudah gagal bikin sayembara seperti zaman raja dulu ikut siapa tahu hadiah besar dana sudah keluar satu bulan ujung janji mau bayar nanti sudah anggar uang sudah ada anggar dapat belanja negara pakai defisit anggar belum cicil hutang luar negeri belum tol tidak hasil kasihan tanda gagal total,negatif
112,Siddi Sidarama,sekarang kehilangan nafkah karena pemerintah gagal mengatasi wabah covid 19 ini,sekarang hilang nafkah pemerintah gagal atas wabah covid,negatif
113,koclok Keman,"Lbih banyak korban yg mati gantung diri ,stres, klaparan, gila.
Gara2 lockdown dri pada yg terkena virus.",lebih banyak korban mati gantung diri stres lapar gila gara lockdown kena virus,negatif
114,Aripuja Kusuma, akibat lockdown akan lebih banyak yang mati kelaparan dari pada pasien corona...,akibat lockdown lebih banyak mati lapar pasien corona,negatif
115,Zoel Man,semoga dengan peraturan pemerintah lockdown dapat mengurangi angka penyebaran virus corona di indonesia,moga atur pemerintah lockdown dapat kurang angka sebar virus corona indonesia,positif
116,Salwa Bae,Semoga bp jokowi slalu dalam lindungan mu ya alloh amin.,moga bapak jokowi selalu lindung,netral
117,Udang Pepes,"Langkah2 langkah terus, tapi gak ada tindakan nyata dari pemerintah",langkah langkah tidak ada tindak nyata pemerintah,negatif
118,Beng Beng,lockdown akan membunuh rakyat miskin secara perlahan ,lockdown bunuh rakyat miskin cara perlahan,negatif
119,Juliani Juliani,Sekarang pemerintah panik mau ada darurat sipil segala yg jadi korban rakyat dan rakyat dari dulu,sekarang pemerintah panik mau ada darurat sipil segala jadi korban rakyat rakyat dulu,negatif
120,Nabilla Audi Valenzia,"solusi pemerintah sama sekali tidak membantu untuk kuli bangunan sama buruh kasar, kami yang kadang dapat uang kadang tidak akan mati kelaparan",solusi pemerintah sama sekali tidak bantu kuli bangun sama buruh kasar kadang dapat uang kadang tidak mati lapar,negatif
121,Nanda Jaya,"punya presiden tapi gak tegas sama sekali, indonesia bakal hancur ",punya presiden tidak tegas sama sekali indonesia bakal hancur,negatif
122,Ubaid Zubair,Gak usah panik. Ternyata banyak orang nongkrong di warkop karena perkataan pemerintah yang tolol,tidak perlu panik nyata banyak orang kumpul warung kopi kata pemerintah tolol,negatif
123,dengil tv ngapak,"Kenapa baru sekang menteri kesehatan dan bapak presiden  membicarakan soal covid19 .
Seharusnya dari 2 bulan yang lalu bandara harus di tutup untuk mecegah covid19... Eh malah pemerintah santai santai ajah soal covid19.",baru sekarang menteri sehat bapak presiden bicara soal covid harus bulan lalu bandara harus tutup mecegah covid malah pemerintah santai santai soal covid,negatif
124,Devina Salma,"Pak jokowi tolong ulurkan  bantuan baik yg sakit atau yang tidak.... Yang tidak keluar rumah yang kehidupannya minus dibantu biaya  makannya.... Karena tidak bekerja, tapi kenyataannya yg dapat bantuan malah yg kaya raya, miris sama pemerintah sendiri",pak jokowi tolong ulur bantu baik sakit tidak tidak keluar rumah hidup minus bantu biaya makan tidak kerja nyata dapat bantu malah kaya raya miris sama pemerintah sendiri,negatif
